Buyer Name,Award Count,Total Value £,Avg Value £,Min Value £,Max Value £
Scotland Excel,53,10703837060.0,201959189.81,5000000.0,1500000000.0
Defra Network eTendering Portal,53,1509263420.84,28476668.32,5104470.67,739200000.0
NHS Greater Manchester Integrated Care Board,51,178738412153.0,3504674748.1,5000000.0,5490153006.0
North Lanarkshire Council,50,6552750000.0,131055000.0,5000000.0,1800000000.0
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,50,5595483026.0,111909660.52,5213840.0,840563000.0
The City of Edinburgh Council,49,1421232520.0,29004745.31,5000000.0,550000000.0
EMH Care and Support Limited,49,588000000.0,12000000.0,12000000.0,12000000.0
The British Broadcasting Corporation (BBC),48,1453852051.0,30288584.4,5000000.0,480000000.0
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,48,33440170685.17,696670222.61,5000000.0,1860397563.0
ENVIRONMENT AGENCY (Defra Network eTendering Portal),48,1170125519.25,24377614.98,6931031.0,70000000.0
Derbyshire County Council,48,1442181566.11,30045449.29,5000000.0,145500000.0
Quality Trusted Solutions LLP,47,235000000.0,5000000.0,5000000.0,5000000.0
Crown Commercial Service,47,42039469000.0,894456787.23,23819000.0,3000000000.0
North Western Universities Purchasing Consortium,46,640000000.0,13913043.48,7500000.0,20000000.0
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,46,3601075410.0,78284248.04,7195614.0,2177403534.0
The Minister for the Cabinet Office acting through Crown Commercial Service (CCS),44,23529500000.0,534761363.64,5000000.0,12500000000.0
Peterborough City Council,42,1120748929.0,26684498.31,5025000.0,244924736.0
Nottingham City Council,41,868723336.0,21188374.05,6000000.0,83818475.0
NHS Hertfordshire and West Essex Integrated Care Board,41,3220846621.0,78557234.66,5139288.0,469629000.0
DERBY CITY COUNCIL,41,5599581818.0,136575166.29,5200000.0,158505600.0
Sheffield City Council,40,1081465962.3,27036649.06,6240000.0,378000000.0
Secretary of State for Health and Social Care acting as part of the Crown through UK Health Security Agency,40,2110530478.05,52763261.95,5070000.0,390338500.0
Dumfries and Galloway Council,40,1167720504.0,29193012.6,21105000.0,48686143.0
University of Exeter,39,209000000.0,5358974.36,5000000.0,12000000.0
National Highways,39,13921110342.32,356951547.24,5250000.0,11150000000.0
Western Health and Social Care Trust,38,715246775.0,18822283.55,5354937.0,48126202.0
Transport Scotland,38,28679193650.71,754715622.39,5750000.0,20000000000.0
Tower Hamlets,38,684094696.1,18002492.0,6061073.1,161083031.0
Sefton Metropolitan Borough Council,38,570000000.0,15000000.0,15000000.0,15000000.0
Procurement for Housing,38,2650000000.0,69736842.11,5000000.0,1000000000.0
